city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
107,Dutlwe,-23.9833,23.9,68.4,42,47,8.23,BW,scattered clouds
108,Muroto,33.2833,134.15,66.2,55,75,4.61,JP,broken clouds
109,Safranbolu,41.2508,32.6942,41.76,91,100,2.55,TR,overcast clouds
110,Lavrentiya,65.5833,-171.0,5.05,72,3,4.07,RU,clear sky
111,Valparaiso,-33.0393,-71.6273,55.4,94,90,6.91,CL,overcast clouds
112,Mnogovershinnyy,53.9353,139.9242,29.14,85,45,4.16,RU,scattered clouds
113,Byron Bay,-28.65,153.6167,64.4,100,90,9.22,AU,overcast clouds
114,Talipan,13.9333,121.6833,82.0,81,82,5.99,PH,broken clouds
115,Kasongo-Lunda,-6.4667,16.8167,67.89,98,80,0.98,CD,broken clouds
116,Torbay,47.6666,-52.7314,27.0,74,20,5.66,CA,few clouds
117,Billings,45.7833,-108.5007,54.0,19,20,14.97,US,few clouds
118,Natal,-5.795,-35.2094,80.6,83,40,10.36,BR,scattered clouds
119,Dunedin,-45.8742,170.5036,55.0,67,1,18.99,NZ,clear sky
120,Hualmay,-11.0964,-77.6139,69.91,85,14,9.35,PE,few clouds
121,Khatanga,71.9667,102.5,-40.5,99,56,1.97,RU,broken clouds
122,Touros,-5.1989,-35.4608,78.8,89,20,9.22,BR,few clouds
123,Katsuura,35.1333,140.3,64.0,63,75,10.36,JP,broken clouds
124,Elko,41.0002,-115.5012,59.0,13,1,1.16,US,clear sky
125,Souillac,-20.5167,57.5167,77.0,94,75,3.44,MU,light rain
126,Luanda,-8.8368,13.2343,80.6,78,75,2.3,AO,broken clouds
127,Tutoia,-2.7619,-42.2744,77.2,89,100,8.99,BR,overcast clouds
128,Alice Springs,-23.7,133.8833,71.6,28,0,8.05,AU,clear sky
129,Santa Marinella,42.0345,11.8536,57.0,94,40,4.61,IT,fog
130,Ulladulla,-35.35,150.4667,71.6,60,20,5.75,AU,few clouds
131,Karratha,-20.7377,116.8463,84.16,31,0,6.73,AU,clear sky
132,Aitape,-3.1374,142.3475,83.86,68,100,3.18,PG,overcast clouds
133,Bangolo,7.0069,-7.475,74.03,77,24,1.88,CI,few clouds
134,Port Elizabeth,-33.918,25.5701,64.4,77,0,13.8,ZA,clear sky
135,Isla Mujeres,21.2311,-86.731,82.4,74,20,10.36,MX,few clouds
136,Lompoc,34.6391,-120.4579,75.99,52,0,13.8,US,clear sky
137,Berlevag,70.8578,29.0864,33.58,91,100,13.44,NO,light snow
138,Foz Do Iguacu,-25.5478,-54.5881,68.0,73,0,6.91,BR,clear sky
139,Chokwe,-24.5333,32.9833,69.28,62,100,6.04,MZ,overcast clouds
140,Praia Da Vitoria,38.7333,-27.0667,59.0,82,40,11.07,PT,scattered clouds
141,Pangnirtung,66.1451,-65.7125,8.85,95,100,4.81,CA,light snow
142,Viedma,-40.8135,-62.9967,61.07,84,75,6.04,AR,broken clouds
143,Eidsvag,62.7767,8.0668,37.4,87,75,8.05,NO,heavy intensity drizzle
144,Thompson,55.7435,-97.8558,28.4,43,40,8.05,CA,scattered clouds
145,Pangkalanbuun,-2.6833,111.6167,77.68,86,84,2.89,ID,broken clouds
146,Port Moresby,-9.4431,147.1797,87.8,70,40,11.5,PG,haze
147,Svetlaya,46.5389,138.3297,37.69,77,21,3.65,RU,few clouds
148,Wuxue,29.8506,115.5525,60.6,94,99,3.11,CN,light rain
