City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
169,Nieuw Nickerie,SR,77.68,broken clouds,5.95,-56.9833,Ishwardat Inn
174,Muisne,EC,77.22,overcast clouds,0.6,-80.0333,Quinta Samay
176,Isangel,VU,84.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
180,Wilmington,US,73.4,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
182,Arraial Do Cabo,BR,75.25,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
184,Auki,SB,81.3,broken clouds,-8.7676,160.7034,Auki Motel
192,Tiarei,PF,87.8,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
199,Swan Hill,AU,75.65,few clouds,-35.3378,143.5544,Lazy River Motor Inn
201,Obo,CF,77.04,overcast clouds,5.3998,26.4869,
204,Lorengau,PG,84.33,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Nha Trang,VN,82.4,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
206,Port Lincoln,AU,76.35,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
207,Eyl,SO,74.43,scattered clouds,7.9803,49.8164,Amiin Hotel
216,Kalemie,CD,71.11,light rain,-5.9475,29.1947,Mahobilali
220,Jieshi,CN,78.01,overcast clouds,22.8134,115.8257,Yuehai Hotel
230,Chabahar,IR,76.59,clear sky,25.2919,60.643,هتل گدروشیا
232,Fomboni,KM,82.78,light rain,-12.28,43.7425,Relais Singani
234,Imbituba,BR,71.6,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
235,Kaura Namoda,NG,75.16,clear sky,12.5898,6.5779,Moonlight Hotel
237,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
239,Karachi,PK,82.4,haze,24.9056,67.0822,Sadaat
240,Pasni,PK,78.89,clear sky,25.2631,63.471,Kashmiri Hotal
241,Cayenne,GF,80.01,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
242,Japura,ID,74.07,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
245,Bengkulu,ID,76.15,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
246,Hobyo,SO,79.45,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
251,Weligama,LK,78.39,overcast clouds,5.9667,80.4167,Weligama Bay Resort
255,Thinadhoo,MV,82.96,moderate rain,0.5333,72.9333,
257,Rantauprapat,ID,74.03,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
260,Cabo San Lucas,MX,84.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
268,Chihuahua,MX,80.6,scattered clouds,28.5,-106.0,
270,Ati,TD,73.53,broken clouds,13.2154,18.3353,
272,Amapa,BR,72.18,broken clouds,1.0,-52.0,
279,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
282,Mapiripan,CO,73.38,overcast clouds,2.8892,-72.1256,Monserrate
283,Emerald,AU,75.2,clear sky,-23.5333,148.1667,The Irish Village
285,Mulege,MX,75.76,scattered clouds,26.8833,-111.9833,Casa Granada
288,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
291,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
292,Bubaque,GW,76.71,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Barra Do Garcas,BR,82.4,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
297,Sassandra,CI,78.26,few clouds,4.95,-6.0833,la terrasse
299,Eydhafushi,MV,83.57,scattered clouds,5.1033,73.0708,Soneva Fushi
301,Taoudenni,ML,82.69,broken clouds,22.6783,-3.9836,
302,Bilma,NE,71.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
308,Yenagoa,NG,78.6,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
316,Ciudad Bolivar,VE,86.52,broken clouds,8.1222,-63.5497,Hotel Edi
317,Rampur Hat,IN,71.96,clear sky,24.1667,87.7833,Amantran Hotel & Resorts
319,Mecca,SA,73.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
321,Areia Branca,BR,80.13,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
323,Curuca,BR,74.41,moderate rain,-0.7289,-47.8481,Hotel Curuça
325,Palu,ID,78.57,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
327,West Bay,KY,81.0,scattered clouds,19.3667,-81.4167,Calypso Cove
328,Aripuana,BR,73.0,heavy intensity rain,-9.1667,-60.6333,
333,Bangalore,IN,73.4,few clouds,12.9762,77.6033,The Chancery Hotel
337,Kununurra,AU,82.4,overcast clouds,-15.7667,128.7333,Hotel Kununurra
338,Marawi,PH,80.01,light rain,7.9986,124.2928,Derogongan Residence
339,Namibe,AO,75.07,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
342,Hopelchen,MX,84.2,scattered clouds,19.7667,-89.85,Hotel Jaguar
345,Vavatenina,MG,70.12,broken clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
348,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
351,Caravelas,BR,78.19,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
353,Guasdualito,VE,79.39,overcast clouds,7.2424,-70.7324,Hotel Cuibas
354,New Amsterdam,GY,74.91,scattered clouds,6.25,-57.5167,Little Rock Suites
356,Vao,NC,76.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
357,Phangnga,TH,82.99,scattered clouds,8.4509,98.5298,Rattanapong Hotel
359,Ambilobe,MG,72.93,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
360,Jambi,ID,73.72,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
361,Ugoofaaru,MV,83.64,scattered clouds,5.6667,73.0,Ungoofaaru Inn
363,Merauke,ID,80.02,overcast clouds,-8.4667,140.3333,PC
366,Poum,NC,79.68,overcast clouds,-20.2333,164.0167,Gîte kajeon
368,Concepcion Del Oro,MX,70.38,overcast clouds,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
371,Araouane,ML,78.57,clear sky,18.9048,-3.5265,
372,Nuevitas,CU,80.6,few clouds,21.5453,-77.2644,Hotel Caonaba
373,Thiruvananthapuram,IN,84.2,mist,8.4833,76.9167,Hotel Residency Tower
374,Pemangkat,ID,78.03,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
376,Faanui,PF,82.45,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
378,Puerto Cabezas,NI,82.4,broken clouds,14.0351,-83.3888,Cabaña Caribe
380,Tambulig,PH,81.63,overcast clouds,8.0702,123.5348,Calolot Mountain Resort
381,Udon Thani,TH,80.01,mist,17.3333,102.8333,P.T.K. Apartment
382,Richards Bay,ZA,70.81,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
388,Agustin Codazzi,CO,78.76,broken clouds,10.0341,-73.2361,Hotel perija
389,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
390,Half Moon Bay,US,77.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
392,Karratha,AU,83.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
393,Luganville,VU,82.09,light rain,-15.5333,167.1667,The Espiritu Hotel
395,Biak,ID,81.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
396,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
401,Pangai,TO,86.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
402,Cairns,AU,80.6,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
405,Jega,NG,79.77,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
407,Gwadar,PK,79.99,clear sky,25.1216,62.3254,Sadaf Resort
413,Morondava,MG,72.97,clear sky,-20.2833,44.2833,La Case Bambou
414,Boa Vista,BR,84.2,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
415,Bela,IN,70.02,clear sky,25.9333,81.9833,Raj Bhawan
418,Mahibadhoo,MV,83.16,overcast clouds,3.7833,72.9667,Omadhoo Inn
420,Sawakin,SD,73.69,few clouds,19.1059,37.3321,فندق الدويم
421,Humaita,BR,70.9,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
424,Hilton Head Island,US,71.6,broken clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
425,Port Blair,IN,79.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
427,Bridgetown,BB,78.8,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
429,Harper,LR,78.75,overcast clouds,4.375,-7.7169,Screensaver
430,Makati,PH,84.99,few clouds,14.5569,121.0235,Dusit Thani Manila
437,Tabou,CI,78.8,broken clouds,4.423,-7.3528,hotêl doufoulougou
439,Payo,ID,72.5,light rain,-3.7508,103.6372,Mess keban agung
440,Balabac,PH,81.75,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
442,Marsh Harbour,BS,76.35,broken clouds,26.5412,-77.0636,Abaco Beach Resort
444,Noumea,NC,82.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
445,Laguna,US,82.4,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
448,Prado,BR,77.07,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
450,Palakkad,IN,78.44,broken clouds,10.7833,76.65,Hotel Gazala family restaurant Palakkad
454,Beira,MZ,71.22,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
456,Arboletes,CO,82.38,broken clouds,8.8505,-76.4269,Hotel Playa Star
457,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
458,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
464,Moerai,PF,79.63,light rain,-22.4333,-151.3333,Le Manotel
466,Bambanglipuro,ID,77.67,overcast clouds,-7.95,110.2833,Puri Brata
