city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Lorengau,PG,2021=03-28 17:47:54,-2.0226,147.2712,81.28,80,95,8.86
92,Svetlyy,RU,2021=03-28 17:47:54,54.675,20.1347,42.8,61,0,6.71
93,Bengkulu,ID,2021=03-28 17:47:54,-3.8004,102.2655,77.47,90,97,4.61
94,Port Elizabeth,ZA,2021=03-28 17:43:47,-33.918,25.5701,64.4,72,0,13.8
95,Ponta Do Sol,PT,2021=03-28 17:47:54,32.6667,-17.1,66.2,72,20,11.5
96,Port Hedland,AU,2021=03-28 17:47:55,-20.3167,118.5667,82.4,57,77,4.61
97,Bathsheba,BB,2021=03-28 17:47:55,13.2167,-59.5167,82.4,65,20,17.27
98,Byron Bay,AU,2021=03-28 17:47:55,-28.65,153.6167,64.4,94,40,8.63
99,Ixtapa,MX,2021=03-28 17:47:55,20.7,-105.2,77.0,53,40,8.1
100,Remontnoye,RU,2021=03-28 17:47:56,46.5614,43.6501,39.2,81,40,8.95
101,Nanortalik,GL,2021=03-28 17:47:45,60.1432,-45.2371,25.77,73,27,10.4
102,Lavrentiya,RU,2021=03-28 17:47:56,65.5833,-171.0,4.57,95,100,18.25
103,Abu Samrah,SY,2021=03-28 17:47:56,35.3029,37.1841,50.32,58,5,8.19
104,Broome,US,2021=03-28 17:47:56,42.2506,-75.833,55.0,87,90,12.66
105,Misratah,LY,2021=03-28 17:47:57,32.3754,15.0925,63.61,55,96,14.41
106,Qingdao,CN,2021=03-28 17:47:57,36.0986,120.3719,54.0,46,36,2.24
107,Yining,CN,2021=03-28 17:47:57,29.0361,114.5636,62.76,87,0,1.7
108,Casma,CL,2021=03-28 17:47:57,-41.0082,-73.1244,68.0,56,0,10.36
109,Yellowknife,CA,2021=03-28 17:47:57,62.456,-114.3525,19.99,53,75,13.8
110,Ipixuna,BR,2021=03-28 17:46:46,-1.7625,-48.8043,77.0,88,75,10.36
111,Natal,BR,2021=03-28 17:44:21,-5.795,-35.2094,86.0,66,40,10.36
112,Alofi,NU,2021=03-28 17:47:58,-19.0595,-169.9187,77.0,94,9,9.22
113,Ancud,CL,2021=03-28 17:44:06,-41.8697,-73.8203,66.2,63,20,16.11
114,Cherskiy,RU,2021=03-28 17:47:58,68.75,161.3,-10.14,92,100,0.43
115,Kilakarai,IN,2021=03-28 17:47:58,9.2333,78.7833,83.79,60,55,8.52
116,New Norfolk,AU,2021=03-28 17:47:59,-42.7826,147.0587,54.0,62,67,1.99
117,Vaitape,PF,2021=03-28 17:47:59,-16.5167,-151.75,82.42,73,44,21.63
118,San Rafael,AR,2021=03-28 17:47:29,-34.6177,-68.3301,75.49,24,0,12.21
119,Kaitangata,NZ,2021=03-28 17:47:59,-46.2817,169.8464,52.07,96,97,3.18
120,Letnica,PL,2021=03-28 17:47:59,51.8981,15.333,48.99,40,99,7.76
121,Portland,US,2021=03-28 17:48:00,45.5234,-122.6762,50.0,71,75,16.11
122,Constitucion,CL,2021=03-28 17:45:18,-35.3333,-72.4167,69.3,42,0,4.88
123,Leh,IN,2021=03-28 17:48:00,34.1667,77.5833,41.07,53,99,8.46
124,Kibala,TD,2021=03-28 17:48:00,9.1104,18.3463,95.0,16,80,13.8
125,Carnarvon,AU,2021=03-28 17:47:21,-24.8667,113.6333,73.4,88,0,3.44
126,Pakokku,MM,2021=03-28 17:48:00,21.3333,95.1,90.54,22,99,9.15
127,Airai,TL,2021=03-28 17:48:01,-8.9266,125.4092,60.22,94,100,1.9
128,Moerai,PF,2021=03-28 17:48:01,-22.4333,-151.3333,80.89,72,1,20.4
129,Komsomolskiy,UZ,2021=03-28 17:48:01,40.4272,71.7189,51.8,93,90,6.91
130,Cleveland,US,2021=03-28 17:48:01,41.4995,-81.6954,51.8,81,90,20.71
131,Kolarovo,SK,2021=03-28 17:48:02,47.9229,17.9847,51.8,50,80,4.61
132,Luderitz,NA,2021=03-28 17:43:11,-26.6481,15.1594,63.59,84,4,6.46
133,Paita,PE,2021=03-28 17:48:02,-5.0892,-81.1144,87.8,48,0,14.97
134,Mezen,RU,2021=03-28 17:48:02,65.8522,44.24,35.26,97,100,9.37
135,Avera,US,2021=03-28 17:43:55,33.194,-82.5271,80.01,57,40,17.27
136,Mahebourg,MU,2021=03-28 17:47:31,-20.4081,57.7,78.8,83,40,3.44
137,Vanavara,RU,2021=03-28 17:48:02,60.34,102.2797,6.39,99,85,2.17
138,College,US,2021=03-28 17:48:03,64.8569,-147.8028,6.01,72,75,2.44
139,Acarau,BR,2021=03-28 17:48:03,-2.8856,-40.12,82.89,70,45,8.25
140,Manokwari,ID,2021=03-28 17:48:03,-0.8667,134.0833,77.07,84,100,5.57
141,Comodoro Rivadavia,AR,2021=03-28 17:48:03,-45.8667,-67.5,64.4,52,0,14.97
142,Tuktoyaktuk,CA,2021=03-28 17:48:04,69.4541,-133.0374,-20.2,76,75,12.66
143,Lieksa,FI,2021=03-28 17:48:04,63.3167,30.0167,36.46,91,95,9.17
144,Victor Harbor,AU,2021=03-28 17:45:41,-35.5667,138.6167,57.99,96,48,2.75
145,Shangzhi,CN,2021=03-28 17:48:04,45.2167,127.9667,41.49,93,98,4.52
146,Qaanaaq,GL,2021=03-28 17:47:35,77.484,-69.3632,-14.94,78,33,3.0
147,Kaeo,NZ,2021=03-28 17:48:04,-35.1,173.7833,66.0,96,100,5.99
148,Pacific Grove,US,2021=03-28 17:43:53,36.6177,-121.9166,61.0,55,1,3.44
149,Waddan,LY,2021=03-28 17:48:05,29.1614,16.139,64.89,22,54,11.59
150,Tegh,AM,2021=03-28 17:48:05,39.5579,46.4772,33.28,92,94,2.89
151,Kudahuvadhoo,MV,2021=03-28 17:48:05,2.6708,72.8944,79.7,83,99,13.31
152,Luena,AO,2021=03-28 17:48:05,-11.7833,19.9167,64.17,93,97,1.14
153,Vila Velha,BR,2021=03-28 17:48:06,-20.3297,-40.2925,90.0,55,20,11.5
154,Saskylakh,RU,2021=03-28 17:48:06,71.9167,114.0833,-4.5,99,98,2.3
155,Myitkyina,MM,2021=03-28 17:48:06,25.3833,97.4,70.5,25,97,1.83
156,Golyshmanovo,RU,2021=03-28 17:48:06,56.3979,68.3728,11.26,93,66,7.25
157,Ekangala,ZA,2021=03-28 17:48:07,-25.6962,28.7492,66.99,72,61,4.61
158,Spiridonovka,RU,2021=03-28 17:48:07,53.0925,50.6462,32.0,59,40,11.18
159,Pisco,PE,2021=03-28 17:44:53,-13.7,-76.2167,71.6,73,0,9.22
160,Batagay-Alyta,RU,2021=03-28 17:48:07,67.8006,130.4114,-5.24,87,99,4.99
161,Severnoye,RU,2021=03-28 17:48:07,56.3491,78.3619,25.48,95,100,1.57
